Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.000100
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 999.934183   Box : 9.999781
Volume : 999.813667   Box : 9.999379
Volume : 999.391980   Box : 9.997973
Volume : 999.175563   Box : 9.997251
Volume : 999.077393   Box : 9.996924
Volume : 999.078458   Box : 9.996927
Volume : 998.593757   Box : 9.995310
Volume : 998.180833   Box : 9.993932
Volume : 997.471309   Box : 9.991564
Volume : 997.415524   Box : 9.991378
Volume : 996.736819   Box : 9.989111
Volume : 996.556460   Box : 9.988508
Volume : 995.868997   Box : 9.986211
Volume : 995.312657   Box : 9.984351
Volume : 994.994258   Box : 9.983286
Volume : 994.860987   Box : 9.982841
Volume : 994.340479   Box : 9.981099
Volume : 994.146167   Box : 9.980449
Volume : 993.824367   Box : 9.979372
Volume : 993.127800   Box : 9.977040
Volume : 993.232250   Box : 9.977390
Volume : 992.879943   Box : 9.976210
Volume : 992.550220   Box : 9.975105
Volume : 992.358766   Box : 9.974464
Volume : 992.217203   Box : 9.973990
Volume : 991.679727   Box : 9.972188
Volume : 991.237482   Box : 9.970706
Volume : 991.020828   Box : 9.969979
Volume : 990.187605   Box : 9.967184
Volume : 989.834466   Box : 9.965999
Volume : 989.845139   Box : 9.966035
Volume : 989.008758   Box : 9.963227
Volume : 988.565099   Box : 9.961737
Volume : 988.212099   Box : 9.960552
Volume : 987.938369   Box : 9.959632
Volume : 988.171406   Box : 9.960415
Volume : 987.758141   Box : 9.959026
Volume : 987.431188   Box : 9.957927
Volume : 986.864935   Box : 9.956023
Volume : 986.682264   Box : 9.955409
Volume : 986.518545   Box : 9.954858
Volume : 986.351421   Box : 9.954296
Volume : 986.392281   Box : 9.954434
Volume : 986.247747   Box : 9.953947
Volume : 985.814906   Box : 9.952491
Volume : 985.338287   Box : 9.950887
Volume : 985.056574   Box : 9.949938
Volume : 984.867947   Box : 9.949303
Volume : 984.755372   Box : 9.948924
Volume : 984.174929   Box : 9.946969
Volume : 984.098744   Box : 9.946712
Volume : 983.840192   Box : 9.945841
Volume : 983.690046   Box : 9.945335
Volume : 983.589790   Box : 9.944997
Volume : 983.623456   Box : 9.945111
Volume : 983.704467   Box : 9.945384
Volume : 982.767738   Box : 9.942226
Volume : 982.723619   Box : 9.942077
Volume : 982.036654   Box : 9.939760
Volume : 981.410487   Box : 9.937647
Volume : 981.213789   Box : 9.936983
Volume : 980.733376   Box : 9.935361
Volume : 979.688483   Box : 9.931831
Volume : 979.549870   Box : 9.931363
Volume : 979.459318   Box : 9.931057
Volume : 979.421866   Box : 9.930930
Volume : 979.151122   Box : 9.930015
Volume : 978.608233   Box : 9.928180
Volume : 978.481922   Box : 9.927752
Volume : 978.275126   Box : 9.927053
Volume : 978.194631   Box : 9.926781
Volume : 978.113397   Box : 9.926506
Volume : 977.849345   Box : 9.925613
Volume : 977.136441   Box : 9.923200
Volume : 976.792992   Box : 9.922037
Volume : 976.458837   Box : 9.920906
Volume : 976.459255   Box : 9.920907
Volume : 976.257809   Box : 9.920225
Volume : 975.848069   Box : 9.918837
Volume : 976.062737   Box : 9.919564
Volume : 975.672460   Box : 9.918242
Volume : 975.562249   Box : 9.917868
Volume : 976.023734   Box : 9.919432
Volume : 975.611910   Box : 9.918036
Volume : 974.949019   Box : 9.915790
Volume : 975.239322   Box : 9.916774
Volume : 974.479941   Box : 9.914199
Volume : 974.472533   Box : 9.914174
Volume : 974.180969   Box : 9.913185
Volume : 974.057103   Box : 9.912765
Volume : 973.706328   Box : 9.911575
Volume : 973.576797   Box : 9.911135
Volume : 973.561648   Box : 9.911084
Volume : 973.633677   Box : 9.911328
Volume : 973.063557   Box : 9.909393
Volume : 972.656837   Box : 9.908013
Volume : 972.760254   Box : 9.908364
Volume : 972.324417   Box : 9.906884
Volume : 972.004511   Box : 9.905797
Volume : 971.541997   Box : 9.904226
Volume : 971.095965   Box : 9.902710
Volume : 971.234475   Box : 9.903181
Volume : 971.091303   Box : 9.902694
Volume : 970.854249   Box : 9.901888
Volume : 970.862214   Box : 9.901915
Volume : 970.728417   Box : 9.901460
Volume : 970.507770   Box : 9.900710
Volume : 970.062194   Box : 9.899195
Volume : 970.271937   Box : 9.899908
Volume : 970.608836   Box : 9.901054
Volume : 970.100706   Box : 9.899326
Volume : 969.551155   Box : 9.897456
Volume : 968.725504   Box : 9.894646
Volume : 968.198363   Box : 9.892851
Volume : 967.909538   Box : 9.891867
Volume : 967.895058   Box : 9.891817
Volume : 967.463945   Box : 9.890349
Volume : 967.016454   Box : 9.888823
Volume : 966.613001   Box : 9.887448
Volume : 966.077157   Box : 9.885621
Volume : 965.442263   Box : 9.883455
Volume : 965.246261   Box : 9.882786
Volume : 964.823666   Box : 9.881343
Volume : 964.590818   Box : 9.880548
Volume : 964.207132   Box : 9.879238
Volume : 963.909040   Box : 9.878220
Volume : 963.769570   Box : 9.877743
Volume : 963.543821   Box : 9.876972
Volume : 963.079741   Box : 9.875386
Volume : 962.725307   Box : 9.874174
Volume : 962.482529   Box : 9.873344
Volume : 961.812148   Box : 9.871052
