Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 10.000000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 1000.000000   Box : 10.000000
Volume : 954.489839   Box : 9.845938
Volume : 954.489839   Box : 9.845938
Volume : 954.489839   Box : 9.845938
Volume : 938.805356   Box : 9.791709
Volume : 938.805356   Box : 9.791709
Volume : 851.655938   Box : 9.478830
Volume : 851.655938   Box : 9.478830
Volume : 851.472884   Box : 9.478151
Volume : 851.472884   Box : 9.478151
Volume : 851.472884   Box : 9.478151
Volume : 822.928423   Box : 9.371031
Volume : 822.928423   Box : 9.371031
Volume : 822.928423   Box : 9.371031
Volume : 822.928423   Box : 9.371031
Volume : 776.364256   Box : 9.190839
Volume : 776.364256   Box : 9.190839
Volume : 776.364256   Box : 9.190839
Volume : 776.364256   Box : 9.190839
Volume : 764.539417   Box : 9.143938
Volume : 764.539417   Box : 9.143938
Volume : 759.808460   Box : 9.125039
Volume : 745.264636   Box : 9.066441
Volume : 745.264636   Box : 9.066441
Volume : 745.264636   Box : 9.066441
Volume : 716.403954   Box : 8.947863
Volume : 716.403954   Box : 8.947863
Volume : 713.235630   Box : 8.934653
Volume : 713.235630   Box : 8.934653
Volume : 713.235630   Box : 8.934653
Volume : 702.691321   Box : 8.890405
Volume : 702.691321   Box : 8.890405
Volume : 702.691321   Box : 8.890405
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 684.163192   Box : 8.811569
Volume : 663.683287   Box : 8.722754
Volume : 663.683287   Box : 8.722754
Volume : 663.683287   Box : 8.722754
Volume : 655.629541   Box : 8.687327
Volume : 651.773895   Box : 8.670264
Volume : 651.773895   Box : 8.670264
Volume : 651.773895   Box : 8.670264
Volume : 651.773895   Box : 8.670264
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 646.476390   Box : 8.646710
Volume : 639.125063   Box : 8.613810
Volume : 628.840228   Box : 8.567355
Volume : 628.840228   Box : 8.567355
Volume : 625.488898   Box : 8.552108
Volume : 625.488898   Box : 8.552108
Volume : 625.488898   Box : 8.552108
Volume : 625.488898   Box : 8.552108
Volume : 625.488898   Box : 8.552108
Volume : 613.647645   Box : 8.497797
Volume : 613.647645   Box : 8.497797
Volume : 613.647645   Box : 8.497797
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 581.353582   Box : 8.346033
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 572.979276   Box : 8.305765
Volume : 565.297378   Box : 8.268480
Volume : 565.297378   Box : 8.268480
Volume : 550.345129   Box : 8.194926
Volume : 533.252998   Box : 8.109195
Volume : 533.252998   Box : 8.109195
Volume : 533.252998   Box : 8.109195
Volume : 533.252998   Box : 8.109195
Volume : 533.252998   Box : 8.109195
Volume : 505.739862   Box : 7.967261
Volume : 480.200195   Box : 7.830824
Volume : 480.200195   Box : 7.830824
Volume : 480.200195   Box : 7.830824
Volume : 480.200195   Box : 7.830824
Volume : 480.200195   Box : 7.830824
Volume : 480.200195   Box : 7.830824
Volume : 471.401406   Box : 7.782700
Volume : 471.401406   Box : 7.782700
Volume : 471.096945   Box : 7.781024
Volume : 471.096945   Box : 7.781024
Volume : 471.096945   Box : 7.781024
Volume : 471.096945   Box : 7.781024
Volume : 471.096945   Box : 7.781024
